added_by.id,track.name,track.external_urls.spotify,track.popularity
,Sensacion Del Bloque,https://open.spotify.com/track/5clFSlfkCRlhnH1cAQjSBi,64
,Quizas - Remix,https://open.spotify.com/track/5lSASgj3h5dWTK7pr4vkBq,1
,Es Un Secreto,https://open.spotify.com/track/2qM1Uus4I6Yx2BGlIzXaI0,26
,Pobre Diabla,https://open.spotify.com/track/26RZ3DhnVlytdG6N1oxW1E,3
,Tu Príncipe,https://open.spotify.com/track/0Q7ZM15J0cJA9rd7pQYdRq,67
,Pasarela,https://open.spotify.com/track/1MfqPCs3Y722VK6zkWZ98Z,66
,Permitame,https://open.spotify.com/track/4uJSxi5beZ9GSzq5OKH09h,20
,Perdóname,https://open.spotify.com/track/4JOcMuy5myeEaNCKlu5j19,2
,Salio El Sol,https://open.spotify.com/track/48NXpYRuvv9izul4oXhqS9,69
,Pam Pam,https://open.spotify.com/track/2up69Rho7swRdP1MHqzX3n,65
,Mis Ojos Lloran Por Ti,https://open.spotify.com/track/4fFgpzgSkmn3wajioLBPOr,68
,Na De Na,https://open.spotify.com/track/2Jz1X6ZB0gkkCVgmeVGVGp,65
,La Botella,https://open.spotify.com/track/1IlJpEiMt4nuLr3cWFQUxa,63
,Ella Y Yo - Featuring Don Omar,https://open.spotify.com/track/6G4U9avyBNEfP0fAIduev3,71
,El Doctorado,https://open.spotify.com/track/2PUbdd0s68EfVKlBCUW9Vq,13
,En La Cama (feat. Daddy Yankee),https://open.spotify.com/track/0smQWysb4n7WOVGv5YMLnF,63
,Gata Fiera,https://open.spotify.com/track/39FpzJz9HbSiTxe97cK4LE,63
,Siente El Boom,https://open.spotify.com/track/2iHr1co9ElgzHredwMNKOy,61
,"No Se De Ella ""My Space""",https://open.spotify.com/track/32SmDHzbqYRAhX9Jq4gDnT,47
,Ven Bailalo,https://open.spotify.com/track/2KtNeULMaw8sFkr8w13WWB,8
,"Lo Que Pasó, Pasó",https://open.spotify.com/track/6z5Xrx58p5Bs18RIe6KXbI,70
,Agarrala,https://open.spotify.com/track/50K0GKbudptd9wZwQlQWdj,61
,Yo No Soy Tu Marido,https://open.spotify.com/track/10bbgurV9w05vJVGAX9jYq,57
,Dile,https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G,68
,El Telefono,https://open.spotify.com/track/614NVFo5csQqRnryl4jXs2,60
,Atrévete-Te-Te,https://open.spotify.com/track/1q8NdCAQ9QUjpYiqzdd3mv,69
,No Le Temas A Él,https://open.spotify.com/track/6lRjxqSxmiGnFYShwjoDwH,60
,Igual Que Ayer,https://open.spotify.com/track/2WHctubxf8LzrGr62cLz3d,61
,Ayer La Vi,https://open.spotify.com/track/3gvGnkmg8zVZdBAx4B7Cvq,49
,Mírala Bien,https://open.spotify.com/track/04uA3BJ1Rj8DBKkpKCABJx,61
,Pa' Que Retozen,https://open.spotify.com/track/5YJ4BVvTFmVCxUyhKejHfR,67
,Quiero Bailar,https://open.spotify.com/track/4HNlRF6Nux7jU68kTpX7CP,49
,Baila Morena - Original Reggaeton Mix,https://open.spotify.com/track/0kwaKhIcaezQuShga1djFA,63
,Aparentemente,https://open.spotify.com/track/5RCcvZz5i0rckjbCTSPL1s,60
,Rakata,https://open.spotify.com/track/1kQqiC1rS1FiuVpeBKN0QN,64
,Llamé Pa' Verte,https://open.spotify.com/track/7oYouEGAQJpU75CAWFEMi2,48
,Escápate Conmigo - Remix,https://open.spotify.com/track/3njYteZvn759aNUXMCxiRX,58
,Mi Cama Huele a Ti,https://open.spotify.com/track/6YLJCOynR32U4YXtsvzTdC,57
,Noche de Travesura,https://open.spotify.com/track/6ODIW5KyJKtXY2rOuXv9WW,1
,Noche De Sexo,https://open.spotify.com/track/4kAtRwNRLMKuoCbxMSxUGI,66
,Me Matas,https://open.spotify.com/track/6GrPaW2OIHuweYcVRoYbmv,44
,Felina,https://open.spotify.com/track/3QLApyuGYQdSQZTmBXFaSt,45
,La Rompe Corazones,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,8
,Flow Natural,https://open.spotify.com/track/2oeyvFG0mFFDHUxhPVObNk,59
,Yo Voy (feat. Daddy Yankee),https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS,61
,Dutty Love,https://open.spotify.com/track/2U4kPiipwfc2oHmd0nGoj5,58
,Quiero Saber,https://open.spotify.com/track/4VKI2yBkCE4mWhFBwZp0LU,50
,Algo Musical,https://open.spotify.com/track/4oYN44rloSqxabqrSgIani,55
,Dile Que Tu Me Quieres,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,16
,Al Natural (feat. Yandel),https://open.spotify.com/track/49vwUeeauJgEQxDViXA01C,59
uaquiro,Comme d'habitude,https://open.spotify.com/track/20eBaxqAuFPdtI8HHBEI2T,3
uaquiro,L'envie,https://open.spotify.com/track/1DssiNss5G9n0SuB7c4Cem,6
uaquiro,Je te promets,https://open.spotify.com/track/66qec4opk3ESgF5SqYlux2,33
uaquiro,Le pénitencier,https://open.spotify.com/track/1nDx1y6psIACzeaDDwYKgH,36
pcnaimad,Calma - Alicia Remix,https://open.spotify.com/track/7h49721ABzBNotuKaP6sx1,54
pcnaimad,I Don't Care (with Justin Bieber),https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,97
pcnaimad,Presiento,https://open.spotify.com/track/7nHUD2xhqkehsYk3PT6QDs,76
pcnaimad,Fading,https://open.spotify.com/track/2RP8Svo0pMwZXnVcmOffDw,71
pcnaimad,Mi Persona Favorita,https://open.spotify.com/track/3eB9M6owEHwk4nNrZRNUwd,71
pcnaimad,Sucker,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,89
pcnaimad,Nada Sale Mal,https://open.spotify.com/track/0tEHuz6x5TDyB3rK6swBsZ,68
pcnaimad,Dancing With A Stranger (with Normani),https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,87
pcnaimad,Te echo de menos,https://open.spotify.com/track/3gPOFPYLgpvQz0ZMwmv7NE,67
pcnaimad,Don't Call Me Up,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,88
pcnaimad,Tu Foto,https://open.spotify.com/track/1jq9xWt0mdT92G7UoGZWmS,53
pcnaimad,ME! (feat. Brendon Urie of Panic! At The Disco),https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh,72
pcnaimad,Con Calma,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,92
pcnaimad,High Hopes,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,86
pcnaimad,Contando Lunares (feat. Cruz Cafuné),https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD,79
pcnaimad,How Did You Know,https://open.spotify.com/track/01RhPoqZmAH65yoXkMvIvp,38
pcnaimad,Soldi (feat. Maikel Delacalle),https://open.spotify.com/track/1GVBnZF3tHJiWzdCSgg75Z,73
pcnaimad,bad guy,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,97
pcnaimad,Con Altura,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,89
pcnaimad,Walk Me Home,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE,80
pcnaimad,Say My Name,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,79
pcnaimad,De tus ojos - Versión Carlos Jean,https://open.spotify.com/track/5msW0VgKGq8KhJ7wBtMb1V,57
pcnaimad,Don't Worry Bout Me,https://open.spotify.com/track/507tQXutCPYNFkpOq8tmKF,76
pcnaimad,Qué Bonito Es Querer,https://open.spotify.com/track/6uzGmmQ4CuG9HvZktEy0LF,61
pcnaimad,Never Really Over,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,91
pcnaimad,R.I.P. (feat. Rita Ora & Anitta),https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn,79
pcnaimad,So Am I,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,86
pcnaimad,De La Tierra Hasta Marte,https://open.spotify.com/track/38B4tbsVbjI69EWVoybDrQ,54
pcnaimad,Heartless,https://open.spotify.com/track/2qQeFPTddiTjhww2QMEJUm,45
pcnaimad,PA DENTRO (feat. Sean Kingston),https://open.spotify.com/track/1S0M5smHxE7kPLnasxkYSD,57
pcnaimad,Late,https://open.spotify.com/track/2rjCYP9ibN6tYXNWF6AqSk,56
pcnaimad,HP,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW,76
pcnaimad,Feisty,https://open.spotify.com/track/11mdfBWcOXCkSlI6dAYjP6,36
pcnaimad,Indios y Vaqueros,https://open.spotify.com/track/3u5GmyJP2MU3tEJgyiAG2T,60
pcnaimad,Get To Know Me,https://open.spotify.com/track/32lyOiqQrmCUICCcBfkBeG,58
pcnaimad,5 Sentidos,https://open.spotify.com/track/7chjOPhoxbpRYSrO1rvdnu,69
pcnaimad,Exactly What You Want,https://open.spotify.com/track/3O9MPVPie4ViTkxlyPUSlb,46
pcnaimad,Sweet but Psycho,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,88
pcnaimad,Lo Quiero Todo,https://open.spotify.com/track/6gpLTvmHWj12Z03hFgixkH,58
pcnaimad,Swing (Bonus Track),https://open.spotify.com/track/5zUGr7GcNo7UNjvkNYkjiH,37
,Señorita,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,100
,I Don't Care (with Justin Bieber),https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,79
,Beautiful People (feat. Khalid),https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,81
,Goodbyes (Feat. Young Thug),https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,92
,bad guy,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,97
,Old Town Road - Remix,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,96
,Antisocial (with Travis Scott),https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW,83
,Callaita,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,93
,Otro Trago,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,93
,Money In The Grave (Drake ft. Rick Ross),https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,92
,bad guy (with Justin Bieber),https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT,84
,Someone You Loved,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,87
,Loco Contigo (with J. Balvin & Tyga),https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo,90
,Panini,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r,91
,South of the Border (feat. Camila Cabello & Cardi B),https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,83
,Sunflower - Spider-Man: Into the Spider-Verse,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,92
,Soltera - Remix,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,92
,Cross Me (feat. Chance the Rapper & PnB Rock),https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF,79
,Truth Hurts,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,91
,Con Calma,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,92
,Piece Of Your Heart,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,91
,Remember The Name (feat. Eminem & 50 Cent),https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec,81
,LA CANCIÓN,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,87
,If I Can't Have You,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,92
,Ransom,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH,88
,You Need To Calm Down,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,91
